cell_id	lat	lon	municipality_id	municipality_name	km2	employees	companies	truck_fq_weight	truck_fq_municipality	cell_height_lat	cell_width_lon
6110006517000	58.7786894531273	16.91989898466949	0480	Nyköping	0.57	81.97	2.27	421.2	77523.14	0.009	0.01818459443682416
6100006519000	58.79689757445026	16.90359635206163	0480	Nyköping	0.2	28.76	0.8	147.8	77523.14	0.009	0.018196216563287387
6100006518000	58.78792159572731	16.903104854025347	0480	Nyköping	0.91	130.86	3.62	672.4000000000001	77523.14	0.009	0.018190487253931468
6100006517000	58.778945601870134	16.90261365625	0480	Nyköping	0.9	129.42	3.58	665.0	77523.14	0.009	0.018184757934915467
6100006516000	58.76996959287882	16.902122758479358	0480	Nyköping	0.04	5.75	0.16	29.55	77523.14	0.009	0.018179028606239447
6170006509000	58.70530062113849	17.01943689622947	0480	Nyköping	0.06	196.55		1975.5	77523.14	0.009	0.018137750818461022
6160006510000	58.71454546547639	17.0027043682275	0480	Nyköping	0.18	557.56	3.62	5621.8	77523.14	0.009	0.018143651743005744
6140006516000	58.7689314731179	16.97124443379955	0480	Nyköping	0.0	0.0	0.0	0.0	77523.14	0.009	0.01817836598108821
6140006515000	58.75995581377962	16.970736035464125	0480	Nyköping	0.08	300.0	8.0	3080.0	77523.14	0.009	0.018172636875593465
6090006517000	58.7791994355146	16.88532802782586	0480	Nyköping	0.57	81.97	2.27	421.2	77523.14	0.009	0.01818491995529441
6090006519000	58.79715158665869	16.88630180861006	0480	Nyköping	0.24	34.51	0.96	177.35	77523.14	0.009	0.018196378697642557
6090006518000	58.78817551863073	16.885814769446966	0480	Nyköping	0.26	37.39	1.04	192.15	77523.14	0.009	0.018190649331283823
6080006518000	58.788427125541524	16.86852438732665	0480	Nyköping	0.01	1.44	0.04	7.4	77523.14	0.009	0.01819080993035302
6080006517000	58.779450953979186	16.8680421021137	0480	Nyköping	0.31	44.58	1.23	229.04999999999998	77523.14	0.009	0.018185080497908963
6070006513000	58.743794970426514	16.848847483668223	0480	Nyköping	0.05	0.0		10.0	77523.14	0.009	0.01816232151346078
6050006516000	58.77121517055893	16.815713940350413	0480	Nyköping	0.48			20.0	77523.14	0.009	0.01817982365044314
6050006515000	58.76223870871884	16.815245598455164	0480	Nyköping	0.01			20.0	77523.14	0.009	0.018174094032716664
6040006516000	58.771457342354076	16.798431307341005	0480	Nyköping	0.2			20.0	77523.14	0.009	0.018179978227138842
5990006512000	58.73672554926623	16.71024905564074	0480	Nyköping	0.12	100.0		1010.0	77523.14	0.009	0.018157809147506636
6110006518000	58.78766535691271	16.920394638342838	0480	Nyköping	0.44	63.27	1.75	325.1	77523.14	0.009	0.01819032369834793
4240006358000	57.358507389414314	13.736712504007558	0617	Gnosjö	0.11	110.0	13.2	1232.0	24069.899999999998	0.009	0.017278101380647854
4220006357000	57.34918879234842	13.703794268015443	0617	Gnosjö	0.01	9.09	0.64	97.30000000000001	24069.899999999998	0.009	0.017272153380212294
4330006352000	57.306031585134754	13.88790745953597	0617	Gnosjö	0.25	388.89	11.11	4000.0	24069.899999999998	0.009	0.017244606413057344
4310006353000	57.31471500278668	13.854438840725955	0617	Gnosjö	0.02	27.27		282.7	24069.899999999998	0.009	0.0172501489825676
4230006358000	57.358339526511195	13.720094996167393	0617	Gnosjö	0.05	50.0	7.0	570.0	24069.899999999998	0.009	0.017277994234838907
4240006356000	57.34054578699416	13.737329293183956	0617	Gnosjö	0.25	336.95000000000005	13.129999999999999	3500.8	24069.899999999998	0.009	0.017266636605611126
4240006357000	57.34952659518853	13.737020989374527	0617	Gnosjö	0.16999999999999998	193.26	13.670000000000002	2079.3	24069.899999999998	0.009	0.017272368997587516
4250006357000	57.34969220822349	13.753634623582682	0617	Gnosjö	0.07	91.3	3.35	946.4999999999999	24069.899999999998	0.009	0.01727247470732012
4250006356000	57.3407113432141	13.753938874439354	0617	Gnosjö	0.15	143.48	6.6499999999999995	1501.2999999999997	24069.899999999998	0.009	0.017266742279079067
4300006351000	57.296600353561445	13.838406834235784	0617	Gnosjö	0.15	102.27	3.41	1056.8	24069.899999999998	0.009	0.017238586518741793
4310006351000	57.29675249848667	13.854997220622646	0617	Gnosjö	0.06	40.91	1.36	422.69999999999993	24069.899999999998	0.009	0.017238683631866772
4320006351000	57.29690245530958	13.87158777106582	0617	Gnosjö	0.02	31.11	0.89	320.0	24069.899999999998	0.009	0.01723877934834015
4320006352000	57.30588376578139	13.87131270524579	0617	Gnosjö	0.2	348.89	12.11	3610.0	24069.899999999998	0.009	0.017244512060916997
4330006351000	57.297050223985224	13.888178483190977	0617	Gnosjö	0.02	31.11	0.89	320.0	24069.899999999998	0.009	0.017238873668133238
4300006350000	57.287619132880366	13.83868981755839	0617	Gnosjö	0.01	6.82	0.23	70.5	24069.899999999998	0.009	0.017232853863477792
4320006353000	57.31486506249004	13.871037477612072	0617	Gnosjö	0.09	122.73		1237.3	24069.899999999998	0.009	0.017250244764708912
4330006353000	57.31501293254579	13.887636276443674	0617	Gnosjö	0.08	100.0		1010.0	24069.899999999998	0.009	0.01725033914921226
4230006357000	57.34935878988004	13.720407536723881	0617	Gnosjö	0.19999999999999998	165.91	14.36	1812.6999999999998	24069.899999999998	0.009	0.017272261888540853
4320006421000	57.92556101513126	13.851935032091955	0642	Mullsjö	0.04	41.67	2.33	440.0	11360.099999999999	0.009	0.01764004805447649
