year	segment_id	latitude	longitude	is_in_sweden	placement	kW_installed	kW_used	kW_unused	kWPerRoadKm_installed	kWPerRoadKm_used	kWPerRoadKm_unused	kWh_per_year	euro_per_kWh	soc_on_arrival	lane_km
2025-01-01	3855032	60.648832	17.145737	True	Depot	180.24312	180.24312	0	0	0	0	700598.44	0.051359575	0.5	0
2025-01-01	2711887	57.756716	12.076052	True	Destination	384.7517	384.7517	0	0	0	0	74631.18	0.18874529	0.25161475	0
2025-01-01	4521390	67.818583	20.118603	True	Depot	39.351883	39.351883	0	0	0	0	40417.652	0.12552585	0.5	0
2025-01-01	3269988	59.765073	14.521802	True	Depot	340.17084	340.17084	0	0	0	0	1322231.2	0.049862176	0.49999997	0
2025-01-01	3926978	59.572001	17.478519	True	Depot	53.061424	53.061424	0	0	0	0	38291.727	0.11798742	0.5	0
2025-01-01	3666026	60.532628	16.298527	True	Destination	561.2454	561.2454	0	0	0	0	375906.88	0.1876745	0.45841643	0
2025-01-01	3585003	60.076139	15.951263	True	Depot	273.68777	273.68777	0	0	0	0	1063814.2	0.05027212	0.5	0
2025-01-01	3728969	59.381451	16.592248	True	Depot	261.05566	261.05566	0	0	0	0	1014713.75	0.050373618	0.49999997	0
2025-01-01	3044966	59.328399	13.538266	True	Depot	678.5095	678.5095	0	0	0	0	2637341.5	0.049020637	0.5	0
2025-01-01	3071970	59.411747	13.656425	True	Destination	214.67297	214.67297	0	0	0	0	432278.72	0.107633	0.5681849	0
2025-01-01	3855061	61.220074	17.149046	True	Depot	56.997833	56.997833	0	0	0	0	82389.08	0.11649302	0.5	0
2025-01-01	3215796	55.927817	14.29122	True	Depot	114.52886	114.52886	0	0	0	0	445169.38	0.05318709	0.49999997	0
2025-01-01	3386955	59.105884	15.064351	True	RestStop	637.52	637.52	0	0	0	0	1498378.6	0.080316246	0.28248906	0
2025-01-01	3044797	55.940175	13.549665	True	Depot	166.71338	166.71338	0	0	0	0	648008.6	0.05161807	0.5	0
2025-01-01	3890952	59.052184	17.289007	True	Destination	568.733	568.733	0	0	0	0	710211.9	0.15492073	0.42549363	0
2025-01-01	3891034	60.681462	17.28592	True	Destination	140.27637	140.27637	0	0	0	0	6575.9316	0.19467987	0.77701235	0
2025-01-01	2882833	56.673243	12.811203	True	Depot	405.93918	405.93918	0	0	0	0	1577871	0.04958874	0.5	0
2025-01-01	3836981	59.629191	17.07907	True	Depot	211.4739	211.4739	0	0	0	0	821991.2	0.050889213	0.5	0
2025-01-01	3323843	56.872463	14.770651	True	Depot	206.22678	206.22678	0	0	0	0	801595.9	0.050958272	0.5	0
2025-01-01	4863383	67.668359	21.617524	True	Depot	130.1839	130.1839	0	0	0	0	506020	0.05258431	0.49999997	0
2025-01-01	2945806	56.138955	13.11645	True	Destination	332.84332	332.84332	0	0	0	0	108874.62	0.18927637	0.22360256	0
2025-01-01	3593909	58.196096	15.990126	True	Depot	96.86534	96.86534	0	0	0	0	82724.58	0.108202234	0.5	0
2025-01-01	3503921	58.426332	15.583231	True	Destination	329.68927	329.68927	0	0	0	0	775059.25	0.094657026	0.56159127	0
2025-01-01	3945017	60.347536	17.520612	True	Depot	96.80921	96.80921	0	0	0	0	183979.25	0.108209126	0.50000006	0
2025-01-01	3944977	59.54797	17.535869	True	Depot	329.7956	329.7956	0	0	0	0	1281903.5	0.049915258	0.5	0
2025-01-01	3557970	59.405666	15.830849	True	Depot	92.453606	92.453606	0	0	0	0	142897.94	0.10876785	0.5	0
2025-01-01	2900885	57.715443	12.884077	True	Destination	619.8428	619.8428	0	0	0	0	1457175.1	0.093726896	0.2859352	0
